企业ID,行业名称,所在城市,城市等级,零售品类,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,利润(万元)
RETL-202512-913000,零售行业,济南,二线城市,便利店,588.0,240.2,174.1,22,通过,66.1
RETL-202512-939078,零售行业,济南,二线城市,便利店,587.0,195.2,117.3,29,通过,77.89999999999999
RETL-202512-165396,零售行业,重庆,新一线城市,综合商超,659.0,322.7,211.0,17,通过,111.69999999999999
RETL-202512-403464,零售行业,常州,三线及以下,综合商超,645.0,609.0,383.1,81,通过,225.89999999999998
RETL-202512-719176,零售行业,邯郸,三线及以下,美妆零售,505.0,848.7,676.0,111,拒绝,172.70000000000005
RETL-202512-429754,零售行业,济南,二线城市,综合商超,451.0,109.2,82.0,5,通过,27.200000000000003
RETL-202512-361646,零售行业,潍坊,三线及以下,服饰零售,432.0,55.0,43.5,25,通过,11.5
RETL-202512-812809,零售行业,哈尔滨,二线城市,美妆零售,594.0,241.3,163.4,36,通过,77.9
RETL-202512-706022,零售行业,唐山,三线及以下,便利店,449.0,271.1,173.3,9,通过,97.80000000000001
RETL-202512-367746,零售行业,厦门,二线城市,美妆零售,658.0,604.4,368.6,108,通过,235.79999999999995
RETL-202512-252048,零售行业,潍坊,三线及以下,生鲜零售,647.0,403.8,297.6,56,通过,106.19999999999999
RETL-202512-963470,零售行业,长沙,二线城市,家电零售,628.0,33.5,26.8,15,通过,6.699999999999999
RETL-202512-969590,零售行业,潍坊,三线及以下,家电零售,473.0,414.3,257.8,21,通过,156.5
RETL-202512-335903,零售行业,厦门,二线城市,便利店,593.0,377.4,291.5,28,拒绝,85.89999999999998
RETL-202512-745095,零售行业,保定,三线及以下,家电零售,492.0,75.2,47.0,40,通过,28.200000000000003
RETL-202512-939156,零售行业,天津,新一线城市,文具零售,490.0,794.6,520.3,79,拒绝,274.30000000000007
RETL-202512-115084,零售行业,成都,新一线城市,综合商超,569.0,979.2,601.5,95,通过,377.70000000000005
RETL-202512-109114,零售行业,唐山,三线及以下,文具零售,682.0,92.9,76.7,56,通过,16.200000000000003
RETL-202512-291616,零售行业,苏州,新一线城市,综合商超,459.0,276.2,221.4,57,通过,54.79999999999998
RETL-202512-651352,零售行业,厦门,二线城市,美妆零售,404.0,290.5,176.8,45,拒绝,113.69999999999999
RETL-202512-445812,零售行业,杭州,新一线城市,家电零售,430.0,177.5,123.1,29,通过,54.400000000000006
RETL-202512-884584,零售行业,长沙,二线城市,服饰零售,553.0,526.8,424.4,67,通过,102.39999999999998
RETL-202512-394776,零售行业,西安,新一线城市,便利店,479.0,773.4,464.2,85,通过,309.2
RETL-202512-705188,零售行业,潍坊,三线及以下,文具零售,517.0,295.6,216.4,41,通过,79.20000000000002
RETL-202512-230725,零售行业,北京,一线城市,服饰零售,497.0,241.2,195.4,37,通过,45.79999999999998
RETL-202512-584915,零售行业,天津,新一线城市,文具零售,589.0,851.1,587.2,114,拒绝,263.9
RETL-202512-229979,零售行业,西安,新一线城市,便利店,619.0,501.6,338.5,80,通过,163.10000000000002
RETL-202512-507471,零售行业,上海,一线城市,服饰零售,641.0,549.5,454.3,87,通过,95.19999999999999
RETL-202512-854423,零售行业,保定,三线及以下,综合商超,423.0,95.1,68.3,6,通过,26.799999999999997
RETL-202512-713556,零售行业,重庆,新一线城市,家电零售,589.0,299.5,202.2,58,通过,97.30000000000001
RETL-202512-036736,零售行业,西安,新一线城市,文具零售,693.0,335.7,282.5,14,通过,53.19999999999999
RETL-202512-233184,零售行业,盐城,三线及以下,综合商超,436.0,351.4,238.9,46,拒绝,112.49999999999997
RETL-202512-410985,零售行业,沈阳,二线城市,生鲜零售,535.0,488.0,344.6,15,通过,143.39999999999998
RETL-202512-261698,零售行业,唐山,三线及以下,美妆零售,631.0,230.5,193.2,22,通过,37.30000000000001
RETL-202512-840077,零售行业,厦门,二线城市,生鲜零售,430.0,189.7,137.7,31,通过,52.0
RETL-202512-665603,零售行业,武汉,新一线城市,综合商超,694.0,829.4,582.1,100,拒绝,247.29999999999995
RETL-202512-464167,零售行业,上海,一线城市,美妆零售,570.0,171.0,120.5,27,通过,50.5
RETL-202512-984651,零售行业,济南,二线城市,文具零售,544.0,713.6,428.2,108,通过,285.40000000000003
RETL-202512-917354,零售行业,西安,新一线城市,服饰零售,625.0,159.3,98.6,42,通过,60.70000000000002
RETL-202512-847401,零售行业,厦门,二线城市,美妆零售,403.0,96.3,68.2,57,通过,28.099999999999994
RETL-202512-347045,零售行业,武汉,新一线城市,便利店,496.0,250.9,152.1,6,拒绝,98.80000000000001
RETL-202512-366616,零售行业,盐城,三线及以下,文具零售,576.0,452.8,328.6,12,拒绝,124.19999999999999
RETL-202512-610725,零售行业,常州,三线及以下,综合商超,594.0,172.5,137.5,8,通过,35.0
RETL-202512-512502,零售行业,大连,二线城市,服饰零售,596.0,93.1,59.3,36,通过,33.8
RETL-202512-829072,零售行业,常州,三线及以下,家电零售,442.0,119.5,99.4,35,拒绝,20.099999999999994
RETL-202512-154750,零售行业,大连,二线城市,生鲜零售,411.0,546.2,392.6,113,通过,153.60000000000002
RETL-202512-419432,零售行业,广州,一线城市,服饰零售,583.0,21.4,13.2,41,拒绝,8.2
RETL-202512-625226,零售行业,沈阳,二线城市,便利店,440.0,387.8,322.4,47,通过,65.40000000000003
RETL-202512-761873,零售行业,潍坊,三线及以下,家电零售,485.0,624.4,517.7,97,通过,106.69999999999993
RETL-202512-528731,零售行业,南京,新一线城市,综合商超,651.0,73.2,45.2,21,通过,28.0
RETL-202512-683642,零售行业,长沙,二线城市,美妆零售,511.0,319.1,233.8,35,通过,85.30000000000001
RETL-202512-126710,零售行业,南京,新一线城市,美妆零售,604.0,197.6,126.3,43,通过,71.3
RETL-202512-728559,零售行业,成都,新一线城市,服饰零售,541.0,889.4,602.2,110,通过,287.19999999999993
RETL-202512-027012,零售行业,深圳,一线城市,美妆零售,437.0,257.4,197.0,45,通过,60.39999999999998
RETL-202512-027459,零售行业,杭州,新一线城市,生鲜零售,697.0,152.7,103.4,11,通过,49.29999999999998
RETL-202512-416687,零售行业,大连,二线城市,生鲜零售,504.0,299.4,217.3,53,通过,82.09999999999997
RETL-202512-542496,零售行业,苏州,新一线城市,服饰零售,678.0,420.4,278.1,60,通过,142.29999999999995
RETL-202512-536105,零售行业,深圳,一线城市,综合商超,600.0,97.7,78.8,22,通过,18.900000000000006
RETL-202512-825897,零售行业,苏州,新一线城市,文具零售,487.0,187.2,150.8,16,通过,36.39999999999998
RETL-202512-842541,零售行业,重庆,新一线城市,美妆零售,430.0,362.8,254.5,15,通过,108.30000000000001
RETL-202512-889419,零售行业,杭州,新一线城市,美妆零售,593.0,140.3,104.9,19,通过,35.400000000000006
RETL-202512-852852,零售行业,邯郸,三线及以下,服饰零售,450.0,290.7,229.9,49,通过,60.79999999999998
RETL-202512-681167,零售行业,天津,新一线城市,美妆零售,522.0,200.2,138.6,28,拒绝,61.599999999999994
RETL-202512-221127,零售行业,盐城,三线及以下,生鲜零售,652.0,243.2,173.9,56,通过,69.29999999999998
RETL-202512-548875,零售行业,深圳,一线城市,便利店,603.0,142.2,107.8,54,通过,34.39999999999999
RETL-202512-607325,零售行业,西安,新一线城市,便利店,476.0,110.3,91.6,17,通过,18.700000000000003
RETL-202512-821981,零售行业,泉州,三线及以下,生鲜零售,659.0,12.7,7.8,23,通过,4.8999999999999995
RETL-202512-839027,零售行业,邯郸,三线及以下,美妆零售,407.0,316.2,250.5,36,通过,65.69999999999999
RETL-202512-780182,零售行业,天津,新一线城市,服饰零售,553.0,232.7,147.2,59,通过,85.5
RETL-202512-657145,零售行业,潍坊,三线及以下,综合商超,581.0,272.3,167.3,38,通过,105.0
RETL-202512-032507,零售行业,成都,新一线城市,便利店,646.0,329.9,264.5,21,通过,65.39999999999998
RETL-202512-635069,零售行业,杭州,新一线城市,服饰零售,427.0,380.0,251.3,28,通过,128.7
RETL-202512-611172,零售行业,长沙,二线城市,文具零售,437.0,290.4,238.6,42,通过,51.79999999999998
RETL-202512-281787,零售行业,北京,一线城市,便利店,449.0,126.9,89.1,19,通过,37.80000000000001
RETL-202512-662035,零售行业,成都,新一线城市,美妆零售,649.0,283.4,240.6,42,通过,42.79999999999998
RETL-202512-382107,零售行业,济南,二线城市,美妆零售,461.0,186.7,146.1,33,通过,40.599999999999994
RETL-202512-192042,零售行业,天津,新一线城市,综合商超,452.0,239.5,175.2,18,通过,64.30000000000001
RETL-202512-783689,零售行业,潍坊,三线及以下,综合商超,447.0,511.9,431.2,101,通过,80.69999999999999
RETL-202512-309674,零售行业,保定,三线及以下,生鲜零售,684.0,653.9,452.7,80,通过,201.2
RETL-202512-452075,零售行业,邯郸,三线及以下,文具零售,436.0,341.0,278.5,14,通过,62.5
RETL-202512-153940,零售行业,大连,二线城市,服饰零售,601.0,725.1,524.3,118,通过,200.80000000000007
RETL-202512-253638,零售行业,杭州,新一线城市,服饰零售,561.0,924.1,560.6,119,通过,363.5
RETL-202512-690114,零售行业,泉州,三线及以下,服饰零售,587.0,284.3,175.6,25,通过,108.70000000000002
RETL-202512-432013,零售行业,厦门,二线城市,综合商超,572.0,242.2,174.2,16,通过,68.0
RETL-202512-729202,零售行业,深圳,一线城市,家电零售,536.0,,,19,通过,
RETL-202512-761452,零售行业,深圳,一线城市,便利店,685.0,757.0,578.5,112,通过,178.5
RETL-202512-453436,零售行业,北京,一线城市,家电零售,408.0,242.5,168.1,41,通过,74.4
RETL-202512-751956,零售行业,厦门,二线城市,服饰零售,647.0,144.8,111.7,37,通过,33.10000000000001
RETL-202512-358291,零售行业,盐城,三线及以下,家电零售,576.0,104.0,79.0,31,通过,25.0
RETL-202512-280614,零售行业,宁波,二线城市,便利店,466.0,208.5,140.4,56,通过,68.1
RETL-202512-385066,零售行业,潍坊,三线及以下,家电零售,693.0,340.3,226.3,56,通过,114.0
RETL-202512-505268,零售行业,沈阳,二线城市,便利店,495.0,183.1,155.4,19,通过,27.69999999999999
RETL-202512-971147,零售行业,上海,一线城市,家电零售,626.0,244.7,185.8,20,通过,58.89999999999998
RETL-202512-273518,零售行业,保定,三线及以下,生鲜零售,563.0,504.1,359.6,91,通过,144.5
RETL-202512-419521,零售行业,武汉,新一线城市,综合商超,691.0,282.3,232.7,34,通过,49.60000000000002
RETL-202512-699930,零售行业,保定,三线及以下,文具零售,605.0,176.8,114.7,50,拒绝,62.10000000000001
RETL-202512-422982,零售行业,武汉,新一线城市,综合商超,449.0,494.9,327.7,10,拒绝,167.2
RETL-202512-296153,零售行业,重庆,新一线城市,生鲜零售,556.0,156.3,127.6,40,通过,28.700000000000017
RETL-202512-925349,零售行业,唐山,三线及以下,服饰零售,637.0,347.6,265.8,10,通过,81.80000000000001
RETL-202512-089856,零售行业,长沙,二线城市,服饰零售,619.0,194.7,131.2,50,通过,63.5
RETL-202512-335512,零售行业,宁波,二线城市,服饰零售,532.0,267.4,216.0,25,通过,51.39999999999998
RETL-202512-568562,零售行业,沈阳,二线城市,生鲜零售,440.0,177.2,111.2,27,通过,65.99999999999999
RETL-202512-146598,零售行业,西安,新一线城市,生鲜零售,519.0,121.7,75.3,49,通过,46.400000000000006
RETL-202512-686663,零售行业,唐山,三线及以下,生鲜零售,613.0,425.8,349.1,13,通过,76.69999999999999
RETL-202512-115923,零售行业,常州,三线及以下,生鲜零售,518.0,355.5,220.1,60,通过,135.4
RETL-202512-057991,零售行业,杭州,新一线城市,服饰零售,410.0,156.7,99.5,14,通过,57.19999999999999
RETL-202512-933812,零售行业,成都,新一线城市,家电零售,498.0,551.5,429.5,63,通过,122.0
RETL-202512-614445,零售行业,北京,一线城市,家电零售,623.0,380.2,240.1,37,通过,140.1
RETL-202512-595974,零售行业,邯郸,三线及以下,生鲜零售,643.0,36.3,29.0,10,通过,7.299999999999997
RETL-202512-742112,零售行业,武汉,新一线城市,文具零售,421.0,116.0,73.9,22,拒绝,42.099999999999994
RETL-202512-849540,零售行业,盐城,三线及以下,服饰零售,645.0,103.4,84.2,41,通过,19.200000000000003
RETL-202512-880978,零售行业,宁波,二线城市,美妆零售,600.0,238.6,199.0,56,通过,39.599999999999994
RETL-202512-700713,零售行业,上海,一线城市,美妆零售,550.0,11.9,7.6,30,通过,4.300000000000001
RETL-202512-084238,零售行业,北京,一线城市,家电零售,664.0,142.5,96.6,11,通过,45.900000000000006
RETL-202512-549915,零售行业,厦门,二线城市,生鲜零售,407.0,355.6,224.0,34,通过,131.60000000000002
RETL-202512-290892,零售行业,广州,一线城市,家电零售,600.0,5000.0,3712.7,88,通过,1287.3000000000002
RETL-202512-847170,零售行业,济南,二线城市,便利店,434.0,538.1,390.2,111,通过,147.90000000000003
RETL-202512-975859,零售行业,常州,三线及以下,文具零售,579.0,403.0,246.1,33,通过,156.9
RETL-202512-492454,零售行业,苏州,新一线城市,便利店,607.0,169.3,111.3,60,拒绝,58.000000000000014
RETL-202512-541199,零售行业,深圳,一线城市,生鲜零售,619.0,236.1,174.3,57,通过,61.79999999999998
RETL-202512-396514,零售行业,北京,一线城市,便利店,634.0,390.5,324.5,24,通过,66.0
RETL-202512-390011,零售行业,北京,一线城市,美妆零售,493.0,392.7,333.1,32,通过,59.599999999999966
RETL-202512-752906,零售行业,广州,一线城市,综合商超,636.0,140.8,100.5,60,通过,40.30000000000001
RETL-202512-883588,零售行业,天津,新一线城市,生鲜零售,659.0,318.2,203.0,23,通过,115.19999999999999
RETL-202512-893471,零售行业,潍坊,三线及以下,文具零售,495.0,355.7,217.7,500,通过,138.0
RETL-202512-217573,零售行业,阜阳,三线及以下,便利店,521.0,231.6,189.6,8,通过,42.0
RETL-202512-563385,零售行业,上海,一线城市,文具零售,690.0,238.4,198.7,47,通过,39.70000000000002
RETL-202512-001173,零售行业,苏州,新一线城市,服饰零售,697.0,87.2,69.0,35,通过,18.200000000000003
RETL-202512-274223,零售行业,成都,新一线城市,综合商超,503.0,224.9,149.0,33,通过,75.9
RETL-202512-225880,零售行业,邯郸,三线及以下,便利店,410.0,182.1,150.2,20,通过,31.900000000000006
RETL-202512-391420,零售行业,北京,一线城市,家电零售,661.0,316.2,213.6,44,通过,102.6
RETL-202512-066212,零售行业,哈尔滨,二线城市,家电零售,644.0,228.7,162.3,54,通过,66.39999999999998
RETL-202512-691529,零售行业,上海,一线城市,家电零售,638.0,363.8,229.8,49,通过,134.0
RETL-202512-740208,零售行业,厦门,二线城市,综合商超,427.0,131.5,97.1,34,通过,34.400000000000006
RETL-202512-093769,零售行业,武汉,新一线城市,服饰零售,524.0,702.2,450.5,82,拒绝,251.70000000000005
RETL-202512-911168,零售行业,盐城,三线及以下,家电零售,487.0,293.6,187.0,21,通过,106.60000000000002
RETL-202512-345287,零售行业,盐城,三线及以下,综合商超,447.0,394.8,243.4,10,通过,151.4
RETL-202512-402387,零售行业,泉州,三线及以下,美妆零售,590.0,750.0,604.9,118,通过,145.10000000000002
RETL-202512-311482,零售行业,青岛,二线城市,文具零售,468.0,22.9,13.8,6,通过,9.099999999999998
RETL-202512-076527,零售行业,长沙,二线城市,美妆零售,420.0,285.8,199.4,9,通过,86.4
RETL-202512-585614,零售行业,长沙,二线城市,综合商超,405.0,,,11,通过,
RETL-202512-006496,零售行业,潍坊,三线及以下,生鲜零售,530.0,5000.0,3677.1,119,通过,1322.9
RETL-202512-627969,零售行业,天津,新一线城市,家电零售,593.0,337.9,255.0,36,通过,82.89999999999998
RETL-202512-422148,零售行业,深圳,一线城市,美妆零售,639.0,35.9,24.9,49,通过,11.0
RETL-202512-535248,零售行业,西安,新一线城市,综合商超,493.0,109.5,68.8,21,拒绝,40.7
RETL-202512-760071,零售行业,西安,新一线城市,便利店,444.0,369.4,266.8,55,通过,102.59999999999997
RETL-202512-270890,零售行业,青岛,二线城市,美妆零售,569.0,88.2,72.5,57,通过,15.700000000000003
RETL-202512-907078,零售行业,盐城,三线及以下,生鲜零售,499.0,351.5,251.0,32,拒绝,100.5
RETL-202512-319883,零售行业,西安,新一线城市,便利店,662.0,195.0,139.0,17,通过,56.0
RETL-202512-242634,零售行业,厦门,二线城市,综合商超,486.0,193.5,124.0,24,通过,69.5
RETL-202512-894544,零售行业,盐城,三线及以下,综合商超,690.0,764.2,551.4,69,通过,212.80000000000007
RETL-202512-386949,零售行业,盐城,三线及以下,生鲜零售,502.0,759.4,600.4,108,拒绝,159.0
RETL-202512-164366,零售行业,厦门,二线城市,服饰零售,522.0,57.3,39.7,54,通过,17.599999999999994
RETL-202512-253574,零售行业,苏州,新一线城市,美妆零售,438.0,136.9,103.3,47,通过,33.60000000000001
RETL-202512-069287,零售行业,邯郸,三线及以下,服饰零售,504.0,77.9,50.0,12,通过,27.900000000000006
RETL-202512-075386,零售行业,广州,一线城市,综合商超,610.0,297.6,206.5,36,通过,91.10000000000002
RETL-202512-461180,零售行业,保定,三线及以下,服饰零售,584.0,501.9,412.4,101,通过,89.5
RETL-202512-152267,零售行业,哈尔滨,二线城市,文具零售,652.0,425.2,329.5,34,通过,95.69999999999999
RETL-202512-052842,零售行业,哈尔滨,二线城市,美妆零售,425.0,82.6,52.0,20,通过,30.599999999999994
RETL-202512-126560,零售行业,武汉,新一线城市,家电零售,515.0,23.4,17.0,31,通过,6.399999999999999
RETL-202512-715511,零售行业,大连,二线城市,家电零售,486.0,103.1,82.9,7,通过,20.19999999999999
RETL-202512-608069,零售行业,重庆,新一线城市,生鲜零售,567.0,0.0,0.0,49,通过,0.0
RETL-202512-162741,零售行业,常州,三线及以下,服饰零售,695.0,290.5,186.6,56,通过,103.9
RETL-202512-570748,零售行业,大连,二线城市,家电零售,602.0,27.6,21.6,25,通过,6.0
RETL-202512-198389,零售行业,宁波,二线城市,家电零售,540.0,189.9,122.1,9,拒绝,67.80000000000001
RETL-202512-366953,零售行业,邯郸,三线及以下,便利店,528.0,522.3,413.7,84,通过,108.59999999999997
RETL-202512-934740,零售行业,唐山,三线及以下,生鲜零售,641.0,237.1,146.9,53,通过,90.19999999999999
RETL-202512-561963,零售行业,深圳,一线城市,文具零售,699.0,179.8,142.4,22,通过,37.400000000000006
RETL-202512-462434,零售行业,青岛,二线城市,文具零售,484.0,900.0,595.6,107,通过,304.4
RETL-202512-922952,零售行业,天津,新一线城市,美妆零售,482.0,64.4,39.4,19,通过,25.000000000000007
RETL-202512-372765,零售行业,盐城,三线及以下,文具零售,624.0,299.2,207.3,8,通过,91.89999999999998
RETL-202512-730360,零售行业,上海,一线城市,美妆零售,515.0,790.7,628.4,71,通过,162.30000000000007
RETL-202512-231659,零售行业,长沙,二线城市,服饰零售,484.0,218.2,163.6,40,通过,54.599999999999994
RETL-202512-035539,零售行业,济南,二线城市,家电零售,427.0,155.4,117.1,43,通过,38.30000000000001
RETL-202512-860723,零售行业,武汉,新一线城市,美妆零售,589.0,62.2,48.2,21,通过,14.0
RETL-202512-486125,零售行业,邯郸,三线及以下,家电零售,530.0,167.7,134.1,23,通过,33.599999999999994
RETL-202512-390623,零售行业,保定,三线及以下,美妆零售,519.0,270.0,228.0,7,通过,42.0
RETL-202512-598524,零售行业,武汉,新一线城市,家电零售,613.0,296.7,178.7,33,拒绝,118.0
RETL-202512-502067,零售行业,青岛,二线城市,美妆零售,413.0,324.9,200.3,44,通过,124.59999999999997
RETL-202512-845284,零售行业,上海,一线城市,文具零售,571.0,268.5,170.1,39,通过,98.4
RETL-202512-443368,零售行业,青岛,二线城市,综合商超,495.0,242.6,187.3,7,通过,55.29999999999998
RETL-202512-707264,零售行业,济南,二线城市,生鲜零售,686.0,405.0,270.8,29,通过,134.2
RETL-202512-398538,零售行业,上海,一线城市,家电零售,529.0,24.4,16.5,21,通过,7.899999999999999
RETL-202512-682811,零售行业,保定,三线及以下,美妆零售,639.0,235.0,174.7,34,通过,60.30000000000001
RETL-202512-193811,零售行业,邯郸,三线及以下,家电零售,509.0,312.3,193.5,58,通过,118.80000000000001
RETL-202512-361485,零售行业,天津,新一线城市,综合商超,554.0,285.9,192.1,9,通过,93.79999999999998
RETL-202512-763519,零售行业,杭州,新一线城市,美妆零售,452.0,234.3,181.1,15,通过,53.20000000000002
RETL-202512-442294,零售行业,上海,一线城市,家电零售,518.0,82.0,57.2,23,通过,24.799999999999997
RETL-202512-074566,零售行业,泉州,三线及以下,家电零售,636.0,112.4,76.7,18,通过,35.7
RETL-202512-812489,零售行业,盐城,三线及以下,便利店,697.0,224.4,185.6,53,通过,38.80000000000001
RETL-202512-400118,零售行业,深圳,一线城市,文具零售,588.0,232.3,152.4,18,通过,79.9
RETL-202512-494063,零售行业,上海,一线城市,便利店,501.0,272.7,199.2,12,通过,73.5
RETL-202512-949832,零售行业,大连,二线城市,便利店,484.0,142.5,100.2,27,通过,42.3
RETL-202512-576761,零售行业,盐城,三线及以下,文具零售,602.0,399.0,254.0,57,通过,145.0
RETL-202512-086352,零售行业,成都,新一线城市,综合商超,472.0,118.7,76.7,15,通过,42.0
RETL-202512-618879,零售行业,济南,二线城市,服饰零售,658.0,,,16,通过,
RETL-202512-412939,零售行业,盐城,三线及以下,便利店,656.0,476.4,328.8,22,通过,147.59999999999997
RETL-202512-852048,零售行业,西安,新一线城市,生鲜零售,651.0,252.7,186.7,29,通过,66.0
RETL-202512-639644,零售行业,唐山,三线及以下,服饰零售,447.0,318.7,228.2,6,通过,90.5
RETL-202512-955359,零售行业,宁波,二线城市,生鲜零售,567.0,374.7,274.4,22,通过,100.30000000000001
RETL-202512-276197,零售行业,成都,新一线城市,家电零售,560.0,362.8,227.3,17,通过,135.5
RETL-202512-092801,零售行业,邯郸,三线及以下,家电零售,518.0,193.8,133.9,50,通过,59.900000000000006
RETL-202512-154603,零售行业,唐山,三线及以下,综合商超,626.0,182.3,150.4,23,通过,31.900000000000006
RETL-202512-561315,零售行业,厦门,二线城市,便利店,592.0,386.0,265.0,59,通过,121.0
RETL-202512-172401,零售行业,北京,一线城市,美妆零售,486.0,772.4,528.6,78,通过,243.79999999999995
RETL-202512-234407,零售行业,邯郸,三线及以下,文具零售,689.0,281.2,187.7,37,通过,93.5
RETL-202512-171716,零售行业,青岛,二线城市,生鲜零售,468.0,221.8,139.4,41,通过,82.4
RETL-202512-944059,零售行业,泉州,三线及以下,服饰零售,557.0,,,51,通过,
RETL-202512-453159,零售行业,厦门,二线城市,美妆零售,587.0,500.7,408.7,89,通过,92.0
RETL-202512-213151,零售行业,武汉,新一线城市,综合商超,656.0,968.2,748.3,77,通过,219.9000000000001
